1,石森虹花,1997年5月7日,宮城県,1期
2,上村莉菜,1997年1月4日,千葉県,1期
3,尾関梨香,1997年10月7日,神奈川県,1期
4,小池美波,1998年11月14日,兵庫県,1期
5,小林由依,1999年10月23日,埼玉県,1期
6,齋藤冬優花,1998年2月15日,東京都,1期
7,佐藤詩織,1996年11月16日,東京都,1期
8,菅井友香,1995年11月29日,東京都,1期
9,土生瑞穂,1997年7月7日,東京都,1期
10,原田葵,2000年5月7日,東京都,1期
11,守屋茜,1997年11月12日,宮城県,1期
12,渡辺梨加,1995年5月16日,茨城県,1期
13,渡邉理佐,1998年7月27日,茨城県,1期
14,井上梨名,2001年1月29日,兵庫県,2期
15,関有美子,1998年6月29日,福岡県,2期
16,武元唯衣,2002年3月23日,滋賀県,2期
17,田村保乃,1998年10月21日,,大阪府,2期
18,藤吉夏鈴,2001年8月29日,大阪府,2期
19,松田里奈,1999年10月13日,宮崎県,2期
20,松平璃子,1998年5月5日,東京都,2期
21,森田ひかる,2001年7月10日,福岡県,2期
22,山﨑天,2005年9月28日,大阪府,2期
23,遠藤光莉,1999年4月17日,神奈川県,2期
24,大園玲,2000年4月18日,鹿児島県,2期
25,大沼晶保,1999年10月12日,静岡県,2期
26,幸阪茉里乃,2002年12月19日,三重県,2期
27,増本綺良,2002年1月12日,兵庫県,2期
28,守屋麗奈,2000年1月2日,東京都,2期
1,石森虹花,1997年5月7日,宮城県,1期
2,上村莉菜,1997年1月4日,千葉県,1期
3,尾関梨香,1997年10月7日,神奈川県,1期
4,小池美波,1998年11月14日,兵庫県,1期
5,小林由依,1999年10月23日,埼玉県,1期
6,齋藤冬優花,1998年2月15日,東京都,1期
7,佐藤詩織,1996年11月16日,東京都,1期
8,菅井友香,1995年11月29日,東京都,1期
9,土生瑞穂,1997年7月7日,東京都,1期
10,原田葵,2000年5月7日,東京都,1期
11,守屋茜,1997年11月12日,宮城県,1期
12,渡辺梨加,1995年5月16日,茨城県,1期
13,渡邉理佐,1998年7月27日,茨城県,1期
14,井上梨名,2001年1月29日,兵庫県,2期
15,関有美子,1998年6月29日,福岡県,2期
16,武元唯衣,2002年3月23日,滋賀県,2期
17,田村保乃,1998年10月21日,,大阪府,2期
18,藤吉夏鈴,2001年8月29日,大阪府,2期
19,松田里奈,1999年10月13日,宮崎県,2期
20,松平璃子,1998年5月5日,東京都,2期
21,森田ひかる,2001年7月10日,福岡県,2期
22,山﨑天,2005年9月28日,大阪府,2期
23,遠藤光莉,1999年4月17日,神奈川県,2期
24,大園玲,2000年4月18日,鹿児島県,2期
25,大沼晶保,1999年10月12日,静岡県,2期
26,幸阪茉里乃,2002年12月19日,三重県,2期
27,増本綺良,2002年1月12日,兵庫県,2期
28,守屋麗奈,2000年1月2日,東京都,2期
1,石森虹花,1997年5月7日,宮城県,1期
2,上村莉菜,1997年1月4日,千葉県,1期
3,尾関梨香,1997年10月7日,神奈川県,1期
4,小池美波,1998年11月14日,兵庫県,1期
5,小林由依,1999年10月23日,埼玉県,1期
6,齋藤冬優花,1998年2月15日,東京都,1期
7,佐藤詩織,1996年11月16日,東京都,1期
8,菅井友香,1995年11月29日,東京都,1期
9,土生瑞穂,1997年7月7日,東京都,1期
10,原田葵,2000年5月7日,東京都,1期
11,守屋茜,1997年11月12日,宮城県,1期
12,渡辺梨加,1995年5月16日,茨城県,1期
13,渡邉理佐,1998年7月27日,茨城県,1期
14,井上梨名,2001年1月29日,兵庫県,2期
15,関有美子,1998年6月29日,福岡県,2期
16,武元唯衣,2002年3月23日,滋賀県,2期
17,田村保乃,1998年10月21日,,大阪府,2期
